;origin_css;destination_css;distance;duration
179;Orientkaj 4;Drechselsgade 13;8.1;21 
180;Orientkaj 4;Bygmestervej 59;7.5;14 
181;Orientkaj 4;Egirsgade 65;3.9;11 
182;Orientkaj 4;Borups Plads (overfor Stefansgade 73);5.1;14 
183;Orientkaj 4;Arne Jacobsens Alle 7;11.3;26 
184;Orientkaj 4;Frederik Vs Vej 13  (Rigshospital P huset);3.6;10 
185;Orientkaj 4;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);7.3;14 
186;Orientkaj 4;Borgbjergsvej 43;9.2;22 
187;Orientkaj 4;Vigerslev Venge 60;11.8;30 
188;Orientkaj 4;Dronninglundvej 12;11.3;21 
189;Orientkaj 4;Westend 8;6.3;19 
190;Bygmestervej 59;Albaniensgade 4;8.2;21 
191;Bygmestervej 59;Bispebjerg Bakke 22;1.6;5 
192;Bygmestervej 59;Nesbyholmvej 1;2.9;8 
193;Bygmestervej 59;Halvtolv 19;8.2;22 
194;Bygmestervej 59;Solvgade 11;4.5;12 
195;Bygmestervej 59;Amalievej 1;3.4;10 
196;Bygmestervej 59;Esthersvej 34;4.4;11 
197;Bygmestervej 59;Husumvej (overfor 131);4.2;13 
198;Bygmestervej 59;Drechselsgade 13;7.5;19 
199;Bygmestervej 59;Orientkaj 4;5.4;15 
200;Bygmestervej 59;Egirsgade 65;1.8;6 
201;Bygmestervej 59;Borups Plads (overfor Stefansgade 73);1.9;7 
202;Bygmestervej 59;Arne Jacobsens Alle 7;10.7;24 
203;Bygmestervej 59;Frederik Vs Vej 13  (Rigshospital P huset);3.3;10 
204;Bygmestervej 59;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);4.0;11 
205;Bygmestervej 59;Borgbjergsvej 43;7.1;20 
206;Bygmestervej 59;Vigerslev Venge 60;7.3;20 
207;Bygmestervej 59;Dronninglundvej 12;4.1;11 
208;Bygmestervej 59;Westend 8;5.1;15 
209;Egirsgade 65;Albaniensgade 4;7.7;19 
210;Egirsgade 65;Bispebjerg Bakke 22;2.1;6 
211;Egirsgade 65;Nesbyholmvej 1;3.6;11 
212;Egirsgade 65;Halvtolv 19;6.2;19 
213;Egirsgade 65;Solvgade 11;3.0;8 
214;Egirsgade 65;Amalievej 1;3.2;9 
215;Egirsgade 65;Esthersvej 34;4.6;10 
216;Egirsgade 65;Husumvej (overfor 131);5.8;14 
217;Egirsgade 65;Drechselsgade 13;7.0;18 
